Series,Year,Purchases
Sugar and preserves,2006,16.6536485786
Fresh and processed potatoes,2006,103.0050930775
"Fresh and processed vegetables, excluding potatoes",2006,200.1094222277
Fresh and processed fruit,2006,200.7567398753
Bread,2006,102.066321449
Flour,2006,2.8719501795
"Cakes, buns and pastries",2006,60.4247525848
Biscuits and crispbreads,2006,55.589695706
Other cereals and cereal products,2006,177.9849555477
Beverages,2006,41.643682709
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2006,128.0825296537
Soft drinks,2006,80.682453781
Confectionery,2006,79.746915536
Alcoholic drinks,2006,273.3536426256
Milk and milk products excluding cheese,2007,171.1708129797
Cheese,2007,67.6679619187
Carcase meat,2007,121.2943678007
Non-carcase meat and meat products,2007,392.9948216704
Fish,2007,115.5365781677
Eggs,2007,22.5770035058
Fats,2007,41.1140204271
Sugar and preserves,2007,17.2084964849
Fresh and processed potatoes,2007,107.6071126117
"Fresh and processed vegetables, excluding potatoes",2007,209.1554758568
Fresh and processed fruit,2007,202.266133818
Bread,2007,108.051440044
Flour,2007,3.2981220645
"Cakes, buns and pastries",2007,60.4676282417
Biscuits and crispbreads,2007,55.6282596617
Other cereals and cereal products,2007,181.6089349203
Beverages,2007,43.2611788827
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2007,130.423240646
Soft drinks,2007,79.077892145
Confectionery,2007,83.4648335105
Alcoholic drinks,2007,280.953451698
Milk and milk products excluding cheese,2008,186.8603583798
Cheese,2008,70.2565080399
Carcase meat,2008,122.3508740226
Non-carcase meat and meat products,2008,405.8218870451
Fish,2008,115.0958485713
Eggs,2008,26.2629759999
Fats,2008,48.5986040993
Sugar and preserves,2008,18.5346679727
Fresh and processed potatoes,2008,109.4427647493
"Fresh and processed vegetables, excluding potatoes",2008,210.1939637361
Fresh and processed fruit,2008,201.2227222374
Bread,2008,116.9100804674
Flour,2008,4.329236353
"Cakes, buns and pastries",2008,63.1809016157
Biscuits and crispbreads,2008,63.5424058302
Other cereals and cereal products,2008,190.8541466027
Beverages,2008,44.3936487529
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2008,134.9831586889
Soft drinks,2008,80.529448041
Confectionery,2008,86.8997939356
Alcoholic drinks,2008,262.1483341618
Milk and milk products excluding cheese,2009,200.1275265944
Cheese,2009,74.790328987
Carcase meat,2009,126.5997460164
Non-carcase meat and meat products,2009,422.8751293281
Fish,2009,116.8633743819
Eggs,2009,26.9201543945
Fats,2009,46.9675659567
Sugar and preserves,2009,19.634729837
Fresh and processed potatoes,2009,110.6777470253
"Fresh and processed vegetables, excluding potatoes",2009,218.2608399296
Fresh and processed fruit,2009,200.477882269
Bread,2009,117.6982115742
Flour,2009,3.8526320682
"Cakes, buns and pastries",2009,64.0792579234
Biscuits and crispbreads,2009,65.8553626948
Other cereals and cereal products,2009,200.9879912081
Beverages,2009,48.0342187208
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2009,143.9110810575
Soft drinks,2009,84.7910524661
Confectionery,2009,92.6810909631
Alcoholic drinks,2009,288.8051992441
Milk and milk products excluding cheese,2010,188.935556463
Cheese,2010,78.8629930862
Carcase meat,2010,130.4523902339
Non-carcase meat and meat products,2010,441.1920738518
Fish,2010,116.7494254734
Eggs,2010,28.1487362042
Fats,2010,49.5223291327
Sugar and preserves,2010,21.2902406544
Fresh and processed potatoes,2010,112.8568859806
"Fresh and processed vegetables, excluding potatoes",2010,230.0140725453
Fresh and processed fruit,2010,210.9119124881
Bread,2010,116.4061416789
Flour,2010,3.9872721519
"Cakes, buns and pastries",2010,62.6659102575
Biscuits and crispbreads,2010,67.0929152434
Other cereals and cereal products,2010,211.3421321383
Beverages,2010,50.5764215109
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2010,143.8625114194
Soft drinks,2010,89.456409032
Confectionery,2010,95.8198466899
Alcoholic drinks,2010,307.3307007475
Milk and milk products excluding cheese,2011,186.7102296308
Cheese,2011,80.3357284967
Carcase meat,2011,128.70047759
Non-carcase meat and meat products,2011,448.8645502986
Fish,2011,120.4921916501
Eggs,2011,28.027157649
Fats,2011,53.131422384
Sugar and preserves,2011,21.2635900104
Fresh and processed potatoes,2011,116.1949984284
"Fresh and processed vegetables, excluding potatoes",2011,227.1375730658
Fresh and processed fruit,2011,215.0251257466
Bread,2011,118.6060281512
Flour,2011,5.5256428339
"Cakes, buns and pastries",2011,64.3102291253
Biscuits and crispbreads,2011,71.3377403108
Other cereals and cereal products,2011,214.0359741203
Beverages,2011,50.5733165458
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2011,148.2882139066
Soft drinks,2011,92.7152536928
Confectionery,2011,100.6069216099
Alcoholic drinks,2011,307.5712187307
Milk and milk products excluding cheese,2012,188.1974273764
Cheese,2012,80.5728982463
Carcase meat,2012,135.7520894685
Non-carcase meat and meat products,2012,470.5219272893
Fish,2012,123.7652338058
Eggs,2012,30.2494211716
Fats,2012,55.0761620593
Sugar and preserves,2012,22.7673152229
Fresh and processed potatoes,2012,121.2765763232
"Fresh and processed vegetables, excluding potatoes",2012,236.3225212058
Fresh and processed fruit,2012,223.9613485606
Bread,2012,123.2204173773
Flour,2012,5.3824573291
"Cakes, buns and pastries",2012,69.5636160955
Biscuits and crispbreads,2012,74.46497112
Other cereals and cereal products,2012,224.5562182474
Beverages,2012,55.5922951568
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2012,158.8188371736
Soft drinks,2012,96.107261509
Confectionery,2012,101.9234900585
Alcoholic drinks,2012,330.434013503
Milk and milk products excluding cheese,2013,186.764018477
Cheese,2013,85.008254133
Carcase meat,2013,136.4888698463
Non-carcase meat and meat products,2013,484.0529118786
Fish,2013,129.1561344288
Eggs,2013,31.3305371205
Fats,2013,54.7365040065
Sugar and preserves,2013,22.6490721303
Fresh and processed potatoes,2013,129.3243867735
"Fresh and processed vegetables, excluding potatoes",2013,245.4254142117
Fresh and processed fruit,2013,230.3181532917
Bread,2013,126.9931586689
Flour,2013,4.952766252
"Cakes, buns and pastries",2013,68.9009485355
Biscuits and crispbreads,2013,76.0904366
Other cereals and cereal products,2013,229.4467688588
Beverages,2013,54.3395427852
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2013,162.2128909089
Soft drinks,2013,99.9064391419
Confectionery,2013,104.1828295352
Alcoholic drinks,2013,324.0930538111
