Series,Year,Purchases
Bread,1981,51.0957854113
Flour,1981,4.434200861
"Cakes, buns and pastries",1981,25.3846351162
Biscuits and crispbreads,1981,28.1756299438
Other cereals and cereal products,1981,33.9933019846
Beverages,1981,30.9246490775
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1981,31.6128291867
Soft drinks,1981,0
Confectionery,1981,0
Alcoholic drinks,1981,0
Milk and milk products excluding cheese,1982,94.8464590135
Cheese,1982,27.2540295999
Carcase meat,1982,108.9698739039
Non-carcase meat and meat products,1982,152.0021113901
Fish,1982,36.4703630666
Eggs,1982,18.5387561097
Fats,1982,33.6129284355
Sugar and preserves,1982,21.4497787235
Fresh and processed potatoes,1982,45.7357943392
"Fresh and processed vegetables, excluding potatoes",1982,63.6492389297
Fresh and processed fruit,1982,52.2833411017
Bread,1982,52.607174322
Flour,1982,4.2678493976
"Cakes, buns and pastries",1982,27.0646511498
Biscuits and crispbreads,1982,30.2168511187
Other cereals and cereal products,1982,36.4970809855
Beverages,1982,30.9138491381
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1982,33.484383552
Soft drinks,1982,0
Confectionery,1982,0
Alcoholic drinks,1982,0
Milk and milk products excluding cheese,1983,97.4156857609
Cheese,1983,29.5904544601
Carcase meat,1983,107.7655346581
Non-carcase meat and meat products,1983,159.7229643707
Fish,1983,40.9524670842
Eggs,1983,18.2927188702
Fats,1983,34.0227976955
Sugar and preserves,1983,22.5471574737
Fresh and processed potatoes,1983,47.9679535623
"Fresh and processed vegetables, excluding potatoes",1983,71.892836232
Fresh and processed fruit,1983,60.6469518492
Bread,1983,54.2203700413
Flour,1983,4.0597892297
"Cakes, buns and pastries",1983,27.9897670298
Biscuits and crispbreads,1983,30.6330779767
Other cereals and cereal products,1983,37.8823032436
Beverages,1983,36.8220796222
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1983,36.825037331
Soft drinks,1983,0
Confectionery,1983,0
Alcoholic drinks,1983,0
Milk and milk products excluding cheese,1984,100.0387631811
Cheese,1984,29.0854686696
